"序
號",區域別,縣市別,醫院全名,"緊急醫療能
力分級",公告日,效期
1,台北區,基隆市,"長庚醫療財團法人基隆長庚紀念醫
院",重度,104/01/20,110/12/31
2,台北區,基隆市,衛生福利部基隆醫院,中度,104/12/08,110/12/31
3,台北區,基隆市,"醫療財團法人臺灣區煤礦業基金會
臺灣礦工醫院",一般,,
4,台北區,基隆市,"三軍總醫院附設基隆民眾診療服務
處",一般,,
5,台北區,宜蘭縣,"醫療財團法人羅許基金會羅東博愛
醫院",重度,108/01/01,111/12/31
6,台北區,宜蘭縣,國立陽明大學附設醫院,"中度級具備急性腦中風
重度級能力",104/01/20,109/12/31
7,台北區,宜蘭縣,天主教靈醫會醫療財團法人羅東聖母醫院,"中度級急救責任醫院具備急性腦中風及急性冠心症重度級
能力",107/1/1,110/12/31
8,台北區,宜蘭縣,財團法人蘭陽仁愛醫院,一般,,
9,台北區,宜蘭縣,杏和醫院,一般,,
10,台北區,宜蘭縣,臺北榮民總醫院蘇澳分院,一般,,
11,台北區,宜蘭縣,臺北榮民總醫院員山分院,一般,,
12,台北區,台北市,臺北醫學大學附設醫院,重度,106/1/1,111/12/31
13,台北區,台北市,國泰醫療財團法人國泰綜合醫院,重度,102/12/03,109/12/31
14,台北區,台北市,"台灣基督長老教會馬偕醫療財團法
人馬偕紀念醫院",重度,102/12/03,109/12/31
15,台北區,台北市,"臺北市立萬芳醫院－委託財團法人
臺北醫學大學辦理",重度,102/12/03,109/12/31
16,台北區,台北市,國立台灣大學醫學院附設醫院,重度,101/12/28,109/12/31
17,台北區,台北市,臺北榮民總醫院,重度,101/12/28,109/12/31
18,台北區,台北市,三軍總醫院附設民眾診療服務處,重度,101/12/28,109/12/31
19,台北區,台北市,"新光醫療財團法人新光吳火獅紀念
醫院",重度,101/12/28,109/12/31
20,台北區,台北市,振興醫療財團法人振興醫院,重度,108/01/01,111/12/31
21,台北區,台北市,"長庚醫療財團法人台北長庚紀念醫
院",中度,102/12/03,109/12/31
22,台北區,台北市,"基督復臨安息日會醫療財團法人臺
安醫院",中度,107/1/1,110/12/31
23,台北區,台北市,臺北市立聯合醫院仁愛院區,中度*,104/01/20,108/12/31
24,台北區,台北市,臺北市立聯合醫院中興院區,中度*,104/01/20,111/12/31
25,台北區,台北市,"三軍總醫院松山分院附設民眾診療
服務處",中度*,102/12/03,108/12/31
26,台北區,台北市,臺北市立聯合醫院忠孝院區,中度*,107/1/1,110/12/31
27,台北區,台北市,臺北市立聯合醫院陽明院區,中度*,101/12/28,109/12/31
28,台北區,台北市,臺北市立聯合醫院和平院區,中度*,101/12/28,108/12/31
29,台北區,台北市,康寧醫療財團法人康寧醫院,一般,,
30,台北區,台北市,博仁綜合醫院,一般,,
31,台北區,台北市,西園醫療社團法人西園醫院,一般,,
32,台北區,新北市,"台灣基督長老教會馬偕醫療財團法
人淡水馬偕紀念醫院",重度,105/01/05,109/12/31
