,Hospital,Address,Coordinates
0,林園區中門里,"832, Taiwan, 高雄市林園區中門里","(22.5068871, 120.368051)"
1,林園區港埔里,"832, Taiwan, 高雄市林園區港埔里","(22.4986131, 120.3788585)"
2,旗津區上竹里,"805, Taiwan, 高雄市旗津區上竹里","(22.5809157, 120.2923733)"
3,旗津區中興里,中興里,"(20.7005686, 116.8439147)"
4,南竿鄉津沙村,津沙村,"(26.1476951, 119.9147816)"
5,南竿鄉馬祖村,馬祖村,"(26.160587, 119.9198424)"
6,南竿鄉四維村,四維村,"(26.1704534, 119.9205653)"
7,北竿鄉后沃村,后沃村,"(26.2248534, 120.0101821)"
8,潮州鎮新榮里,"920, Taiwan, 屏東縣潮州鎮新榮里","(22.5484406, 120.5387036)"
9,潮州鎮新生里,"920, Taiwan, 屏東縣潮州鎮新生里","(22.5514201, 120.5372645)"
10,潮州鎮光華里,"920, Taiwan, 屏東縣潮州鎮光華里","(22.5453792, 120.5437406)"
11,潮州鎮彭城里,"920, Taiwan, 屏東縣潮州鎮彭城里","(22.5361406, 120.5494968)"
12,潮州鎮三星里,"920, Taiwan, 屏東縣潮州鎮三星里","(22.5489317, 120.5523748)"
13,潮州鎮富春里,"920, Taiwan, 屏東縣潮州鎮富春里","(22.5384638, 120.5415819)"
14,東港鎮新勝里,"928, Taiwan, 屏東縣東港鎮新勝里","(22.4672868, 120.4523255)"
15,東港鎮頂中里,"928, Taiwan, 屏東縣東港鎮頂中里","(22.4681451, 120.4498053)"
16,東港鎮興台里,"928, Taiwan, 屏東縣東港鎮興台里","(22.4659852, 120.4505254)"
17,東港鎮中興里,"928, Taiwan, 屏東縣東港鎮中興里","(22.4656141, 120.4490852)"
18,東港鎮八德里,"928, Taiwan, 屏東縣東港鎮八德里","(22.4640521, 120.446925)"
19,瑞穗鄉瑞穗村,"978, Taiwan, 花蓮縣瑞穗鄉瑞穗村","(23.5026194, 121.3784628)"
20,北竿鄉白沙村,Beigan,"(26.2245753, 119.9982607)"
21,莒光鄉青帆村,青帆村,"(25.9718488, 119.9350236)"
22,莒光鄉田沃村,田沃村,"(25.9785662, 119.9408065)"
23,莒光鄉西坵村,西坵村,"(25.977857, 119.9321321)"
24,莒光鄉福正村,福正村,"(25.9668813, 119.9834478)"
25,莒光鄉大坪村,大坪村,"(25.9606469, 119.9726081)"
26,東區南門里,"300, Taiwan, 新竹市東區南門里","(24.8002103, 120.9679136)"
27,東區竹蓮里,"300, Taiwan, 新竹市東區竹蓮里","(24.7995549, 120.970782)"
28,東區寺前里,"300, Taiwan, 新竹市東區寺前里","(24.7985503, 120.9693478)"
29,東區三民里,"300, Taiwan, 新竹市東區三民里","(24.8081591, 120.978311)"
30,東區東園里,"300, Taiwan, 新竹市東區東園里","(24.8058432, 120.9826132)"
31,東區東勢里,"401, Taiwan, 台中市東區東勢里","(24.1478961, 120.692599)"
32,金峰鄉正興村,"964, Taiwan, 台東縣金峰鄉正興村","(22.6054945, 120.9969525)"
33,金峰鄉賓茂村,"964, Taiwan, 台東縣金峰鄉賓茂村","(22.5319876, 120.9596667)"
34,花蓮市民政里,"970, Taiwan, 花蓮縣花蓮市民政里","(23.9952768, 121.6247444)"
35,花蓮市主商里,"970, Taiwan, 花蓮縣花蓮市主商里","(23.976205, 121.6079855)"
